Delta_Value,Theta_Value,Alpha_Value,SD_Theta_Value,SD_Gamma_Value,Label
0.399254,0.323047,0.372659,0.213337,0.489024,High Stress
0.254224,0.139276,0.113722,0.137585,0.085738,Mid Stress
0.305349,0.265436,0.360544,0.208584,0.512613,Not Stress
0.193305,0.254465,0.320992,0.161309,0.525371,High Stress
0.073576,0.081945,0.102373,0.048705,0.12788,Mid Stress
0.160438,0.155163,0.168476,0.032909,0.12907,Not Stress
0.454008,0.37042,0.337609,0.339958,0.158602,High Stress
0.200404,0.158914,0.16631,0.120805,0.119858,Mid Stress
0.139572,0.094296,0.067606,0.055122,0.056953,Not Stress
0.130681,0.168762,0.191195,0.051456,0.138827,High Stress
0.044419,0.040042,0.058012,0.016871,0.043231,Mid Stress
0.139887,0.119666,0.124417,0.02404,0.163198,Not Stress
0.165706,0.189559,0.232671,0.097587,0.272138,High Stress
0.049093,0.061238,0.072507,0.029925,0.061358,Mid Stress
0.120965,0.145284,0.162808,0.074311,0.25062,Not Stress
0.463635,0.4979,0.489666,0.40714,0.778743,High Stress
0.032965,0.032539,0.041907,0.006141,0.014632,Mid Stress
0.383989,0.240507,0.229009,0.096745,0.188248,Not Stress
0.173234,0.160746,0.167448,0.019364,0.045813,High Stress
0.064932,0.055976,0.054969,0.003898,0.016334,Mid Stress
0.226362,0.169854,0.130984,0.035739,0.054232,Not Stress
0.134106,0.118633,0.112031,0.034081,0.036907,High Stress
0.05339,0.036039,0.041814,0.004793,0.014367,Mid Stress
0.102974,0.105816,0.100466,0.041265,0.060259,Not Stress
0.261623,0.306253,0.356665,0.215453,0.736081,High Stress
0.093683,0.100568,0.114092,0.06848,0.126798,Mid Stress
0.168579,0.145021,0.173062,0.082274,0.283443,Not Stress
0.209742,0.209764,0.198156,0.115527,0.18958,High Stress
0.065498,0.076985,0.064279,0.034176,0.060738,Mid Stress
0.123082,0.12468,0.147326,0.07781,0.233549,Not Stress
0.414372,0.486415,0.6475,0.331447,1.136156,High Stress
0.108913,0.12367,0.154325,0.151049,0.373733,Mid Stress
0.264479,0.294601,0.337565,0.22839,0.834859,Not Stress
0.220725,0.24013,0.305645,0.115832,0.324964,High Stress
0.086162,0.084882,0.094499,0.048947,0.131091,Mid Stress
0.239695,0.171198,0.201684,0.079202,0.151156,Not Stress
0.093484,0.124487,0.144001,0.005599,0.03466,High Stress
0.028227,0.033569,0.038873,0.006527,0.016049,Mid Stress
0.151655,0.132266,0.130887,0.038911,0.067139,Not Stress
0.309209,0.36323,0.48207,0.276951,0.777223,High Stress
0.090801,0.116662,0.174426,0.094718,0.291969,Mid Stress
0.151128,0.155464,0.18832,0.066751,0.258677,Not Stress
0.140678,0.125346,0.140709,0.0363,0.120759,High Stress
0.050795,0.040741,0.042696,0.017925,0.072806,Mid Stress
0.301739,0.212084,0.234033,0.170162,0.13825,Not Stress
0.162885,0.206636,0.236586,0.13346,0.381155,High Stress
0.044266,0.044534,0.05146,0.027302,0.061522,Mid Stress
0.20091,0.182654,0.19969,0.118687,0.532184,Not Stress
0.134983,0.153692,0.187014,0.075551,0.21483,High Stress
0.245883,0.251451,0.280902,0.119542,0.324009,Mid Stress
0.197206,0.184178,0.190972,0.080152,0.224428,Not Stress
0.108655,0.09082,0.10495,0.027485,0.070195,High Stress
0.02175,0.026735,0.029718,0.007052,0.020118,Mid Stress
0.10282,0.091318,0.102434,0.026014,0.064067,Not Stress
0.143604,0.179495,0.224586,0.117943,0.346664,High Stress
0.03191,0.040474,0.049239,0.017066,0.046511,Mid Stress
0.204047,0.221553,0.246492,0.153945,0.521622,Not Stress
0.133806,0.153106,0.186225,0.011978,0.054849,High Stress
0.057525,0.064489,0.078743,0.010859,0.030151,Mid Stress
0.180906,0.11784,0.128747,0.029811,0.069396,Not Stress
0.268458,0.347412,0.381414,0.138576,0.409184,High Stress
0.048588,0.049884,0.06441,0.034655,0.101993,Mid Stress
0.400144,0.335468,0.273325,0.160884,0.440463,Not Stress
0.164992,0.181278,0.181154,0.050248,0.047533,High Stress
0.041534,0.048508,0.061001,0.002771,0.011422,Mid Stress
0.324892,0.275656,0.212315,0.152024,0.090967,Not Stress
0.079932,0.088309,0.091549,0.022073,0.04,High Stress
0.042542,0.036005,0.035425,0.009639,0.013334,Mid Stress
0.125798,0.118538,0.128714,0.058859,0.06305,Not Stress
0.088348,0.084257,0.097943,0.036168,0.077823,High Stress
0.016481,0.017109,0.017454,0.003546,0.014096,Mid Stress
0.120336,0.107114,0.118728,0.049969,0.06767,Not Stress
0.140497,0.174928,0.240262,0.091787,0.269447,High Stress
0.035049,0.050196,0.050832,0.03144,0.073999,Mid Stress
0.104609,0.110536,0.124438,0.041343,0.122528,Not Stress
0.163485,0.175818,0.202843,0.057622,0.151487,High Stress
0.055858,0.038166,0.042306,0.009063,0.012826,Mid Stress
0.089118,0.087589,0.107392,0.035498,0.124126,Not Stress
