timestamps,TP9,AF7,AF8,TP10,Right AUX,Secondary Timestamp (Base),Secondary Timestamp (Remainder)
4253.243,-45.898,-21.484,186.523,-7.324,-141.602,1694053248.000,11.365
4253.247,-37.598,-20.020,221.680,-11.719,-130.859,1694053248.000,11.369
4253.251,-41.016,-19.043,-78.613,-38.086,-90.332,1694053248.000,11.373
4253.254,-46.387,-42.480,-408.203,-48.828,-75.195,1694053248.000,11.377
4253.258,-37.109,-65.430,-263.672,-36.621,-32.715,1694053248.000,11.381
4253.262,-29.297,-71.289,62.012,-20.996,64.941,1694053248.000,11.385
4253.266,-44.434,-83.496,-27.344,-11.230,142.090,1694053248.000,11.389
4253.270,-47.363,-84.473,-591.309,-7.324,349.609,1694053248.000,11.392
4253.274,-44.922,-82.520,-569.336,-22.461,152.832,1694053248.000,11.396
4253.278,-41.992,-85.449,-135.742,-19.531,-149.414,1694053248.000,11.400
4253.282,-32.715,-82.520,18.066,-3.906,-89.355,1694053248.000,11.404
4253.286,-29.297,-79.590,151.367,-25.879,-79.102,1694053248.000,11.408
4253.305,-31.250,-71.777,158.691,-37.598,-115.723,1694053248.000,11.427
4253.309,-32.227,-62.988,-290.039,-37.598,-132.812,1694053248.000,11.431
4253.312,-37.598,-57.129,-345.703,-29.297,-99.609,1694053248.000,11.435
4253.316,-41.016,-56.641,88.379,-23.438,-70.312,1694053248.000,11.439
4253.320,-39.551,-55.664,255.371,-25.391,-63.965,1694053248.000,11.443
4253.324,-45.410,-56.152,-38.086,-27.832,-14.648,1694053248.000,11.447
4253.328,-42.480,-60.059,-513.184,-29.297,161.133,1694053248.000,11.451
4253.332,-46.875,-63.965,-375.000,-25.879,123.047,1694053248.000,11.454
4253.336,-63.965,-74.707,-68.848,-22.949,-47.363,1694053248.000,11.458
4253.340,-68.359,-82.031,3.906,-38.574,-25.391,1694053248.000,11.462
4253.344,-70.801,-85.938,-133.301,-39.551,49.805,1694053248.000,11.466
4253.348,-72.266,-91.309,-325.195,-58.105,-54.199,1694053248.000,11.470
4253.333,-73.730,-105.957,-287.598,-56.152,-143.555,1694053248.000,11.455
4253.337,-65.918,-120.117,-53.711,-32.715,-65.430,1694053248.000,11.459
4253.341,-59.570,-128.906,97.168,-42.969,-60.059,1694053248.000,11.463
4253.345,-62.012,-145.020,153.320,-38.574,-146.973,1694053248.000,11.467
4253.349,-62.500,-163.574,-260.254,-47.363,-120.605,1694053248.000,11.471
4253.353,-55.176,-172.852,-498.535,-50.293,12.207,1694053248.000,11.475
4253.356,-47.852,-178.223,-241.699,-39.551,40.527,1694053248.000,11.479
4253.360,-56.152,-187.500,28.320,-33.691,-25.391,1694053248.000,11.482
4253.364,-60.547,-189.453,189.941,-50.293,-136.230,1694053248.000,11.486
4253.368,-65.430,-191.406,-374.512,-56.641,-37.598,1694053248.000,11.490
4253.372,-65.918,-203.125,-748.535,-43.457,239.746,1694053248.000,11.494
4253.376,-62.988,-208.496,-129.883,-38.086,37.598,1694053248.000,11.498
4253.381,-59.082,-203.613,179.199,-37.109,-168.945,1694053248.000,11.504
4253.385,-44.434,-192.383,7.812,-27.832,-15.625,1694053248.000,11.508
4253.389,-42.480,-187.012,-214.355,-43.945,-13.672,1694053248.000,11.512
4253.393,-52.734,-184.082,-336.914,-47.852,-123.535,1694053248.000,11.516
